[13:14:26.227 verbose] Detected PBES extension.
[13:14:26.244 verbose] pbes2bool parameters:
[13:14:26.244 verbose]   input file:         model/model.req5.pbes
[13:14:26.244 verbose]   data rewriter:      jittyc
[13:14:26.244 verbose]   pbes rewriter:      1
[13:14:26.272 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:14:26.306 verbose] compiling rewriter...
[13:14:32.855 verbose] loading rewriter...
[13:14:32.856 verbose] Retrieving pbes_equations from equation system...
[13:14:32.860 verbose] Computing a BES from the PBES....
[13:15:53.593 verbose] Processed 167000 and generated 181163 boolean variables
[13:15:54.068 verbose] Processed 168000 and generated 182301 boolean variables
[13:15:54.535 verbose] Processed 169000 and generated 183389 boolean variables
[13:15:54.985 verbose] Processed 170000 and generated 184466 boolean variables
[13:15:55.466 verbose] Processed 171000 and generated 185488 boolean variables
[13:15:55.937 verbose] Processed 172000 and generated 186602 boolean variables
[13:15:56.379 verbose] Processed 173000 and generated 187586 boolean variables
[13:15:56.837 verbose] Processed 174000 and generated 188720 boolean variables
[13:15:57.318 verbose] Processed 175000 and generated 189802 boolean variables
[13:15:57.866 verbose] Processed 176000 and generated 191282 boolean variables
[13:15:59.029 verbose] Processed 177000 and generated 192374 boolean variables
[13:15:59.537 verbose] Processed 178000 and generated 193247 boolean variables
[13:16:00.066 verbose] Processed 179000 and generated 194193 boolean variables
[13:16:00.585 verbose] Processed 180000 and generated 195280 boolean variables
[13:16:01.068 verbose] Processed 181000 and generated 196384 boolean variables
[13:16:01.556 verbose] Processed 182000 and generated 197404 boolean variables
[13:16:02.099 verbose] Processed 183000 and generated 198513 boolean variables
[13:16:02.598 verbose] Processed 184000 and generated 199607 boolean variables
[13:16:03.042 verbose] Processed 185000 and generated 200581 boolean variables
[13:16:03.509 verbose] Processed 186000 and generated 201526 boolean variables
[13:16:03.984 verbose] Processed 187000 and generated 202559 boolean variables
[13:16:04.410 verbose] Processed 188000 and generated 203779 boolean variables
[13:16:04.878 verbose] Processed 189000 and generated 204861 boolean variables
[13:16:05.361 verbose] Processed 190000 and generated 205897 boolean variables
[13:16:05.885 verbose] Processed 191000 and generated 207399 boolean variables
[13:16:06.414 verbose] Processed 192000 and generated 208415 boolean variables
[13:16:06.898 verbose] Processed 193000 and generated 209349 boolean variables
[13:16:07.454 verbose] Processed 194000 and generated 210184 boolean variables
[13:16:07.984 verbose] Processed 195000 and generated 211238 boolean variables
[13:16:08.483 verbose] Processed 196000 and generated 212257 boolean variables
[13:16:08.959 verbose] Processed 197000 and generated 213304 boolean variables
[13:16:09.482 verbose] Processed 198000 and generated 214376 boolean variables
[13:16:09.947 verbose] Processed 199000 and generated 215459 boolean variables
[13:16:10.413 verbose] Processed 200000 and generated 216522 boolean variables
[13:16:10.893 verbose] Processed 201000 and generated 217428 boolean variables
[13:16:11.399 verbose] Processed 202000 and generated 218540 boolean variables
[13:16:11.823 verbose] Processed 203000 and generated 219572 boolean variables
[13:16:12.265 verbose] Processed 204000 and generated 220810 boolean variables
[13:16:12.741 verbose] Processed 205000 and generated 221835 boolean variables
[13:16:13.241 verbose] Processed 206000 and generated 222900 boolean variables
[13:16:13.779 verbose] Processed 207000 and generated 224331 boolean variables
[13:16:14.288 verbose] Processed 208000 and generated 225459 boolean variables
[13:16:14.794 verbose] Processed 209000 and generated 226384 boolean variables
[13:16:15.347 verbose] Processed 210000 and generated 227231 boolean variables
[13:16:15.869 verbose] Processed 211000 and generated 228304 boolean variables
[13:16:16.405 verbose] Processed 212000 and generated 229290 boolean variables
[13:16:16.895 verbose] Processed 213000 and generated 230357 boolean variables
[13:16:17.390 verbose] Processed 214000 and generated 231426 boolean variables
[13:16:17.927 verbose] Processed 215000 and generated 232523 boolean variables
[13:16:18.389 verbose] Processed 216000 and generated 233630 boolean variables
[13:16:18.852 verbose] Processed 217000 and generated 234589 boolean variables
[13:16:19.333 verbose] Processed 218000 and generated 235649 boolean variables
[13:16:19.823 verbose] Processed 219000 and generated 236741 boolean variables
[13:16:20.243 verbose] Processed 220000 and generated 237947 boolean variables
[13:16:20.711 verbose] Processed 221000 and generated 239109 boolean variables
[13:16:21.176 verbose] Processed 222000 and generated 240111 boolean variables
[13:16:21.701 verbose] Processed 223000 and generated 241289 boolean variables
[13:16:22.237 verbose] Processed 224000 and generated 242609 boolean variables
[13:16:22.743 verbose] Processed 225000 and generated 243808 boolean variables
[13:16:23.758 verbose] Processed 226000 and generated 244759 boolean variables
[13:16:24.301 verbose] Processed 227000 and generated 245725 boolean variables
[13:16:24.885 verbose] Processed 228000 and generated 246802 boolean variables
[13:16:25.402 verbose] Processed 229000 and generated 247907 boolean variables
[13:16:25.911 verbose] Processed 230000 and generated 248943 boolean variables
[13:16:26.368 verbose] Processed 231000 and generated 250077 boolean variables
[13:16:26.886 verbose] Processed 232000 and generated 251259 boolean variables
[13:16:27.340 verbose] Processed 233000 and generated 252281 boolean variables
[13:16:27.812 verbose] Processed 234000 and generated 253409 boolean variables
[13:16:28.270 verbose] Processed 235000 and generated 254444 boolean variables
[13:16:28.763 verbose] Processed 236000 and generated 255610 boolean variables
[13:16:29.241 verbose] Processed 237000 and generated 256732 boolean variables
[13:16:29.679 verbose] Processed 238000 and generated 257967 boolean variables
[13:16:30.134 verbose] Processed 239000 and generated 259057 boolean variables
[13:16:30.600 verbose] Processed 240000 and generated 260024 boolean variables
[13:16:31.095 verbose] Processed 241000 and generated 261183 boolean variables
[13:16:31.622 verbose] Processed 242000 and generated 262319 boolean variables
[13:16:32.141 verbose] Processed 243000 and generated 263671 boolean variables
